model_name,accuracy,loss,val_accuracy,val_loss,epoch,batch_size,featurewise_center,samplewise_center,featurewise_std_normalization,samplewise_std_normalization,zca_whitening,zca_epsilon,rotation_range,width_shift_range,height_shift_range,shear_range,zoom_range,channel_shift_range,fill_mode,cval,horizontal_flip,vertical_flip,rescale,preprocessing_function,dtype,interpolation_order,data_format,channel_axis,row_axis,col_axis,_validation_split,mean,std,zca_whitening_matrix,brightness_range
VGG16,0.6382124423980713,0.9977511167526245,0.7882353067398071,0.5218475461006165,0,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.7468557953834534,0.567542552947998,0.7935829162597656,0.5136927962303162,2,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.7861921191215515,0.5086202621459961,0.8010694980621338,0.4799163341522217,3,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8290072083473206,0.4085346460342407,0.8106951713562012,0.44583067297935486,11,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8268664479255676,0.40544024109840393,0.8139037489891052,0.4477384686470032,12,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8445277214050293,0.3791949450969696,0.822459876537323,0.43651190400123596,26,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.837837815284729,0.38070833683013916,0.8235294222831726,0.4485533833503723,40,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8140219449996948,0.4411492645740509,0.8032085299491882,0.4588455557823181,0,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8274016380310059,0.4174739420413971,0.8064171075820923,0.4507867395877838,2,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8108108043670654,0.4462234079837799,0.8149732351303101,0.4448046386241913,3,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8426545262336731,0.38022467494010925,0.8139037489891052,0.4408012628555298,0,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.837035059928894,0.3890037536621094,0.8171123266220093,0.4537542164325714,3,64,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.7910088300704956,0.48171675205230713,0.7967914342880249,0.47895658016204834,0,32,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8134867548942566,0.43524762988090515,0.8021390438079834,0.47786378860473633,4,32,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
VGG16,0.8177682757377625,0.43097662925720215,0.8117647171020508,0.4390321373939514,6,32,False,False,False,False,False,"0,000001",5,0.1,0.1,0.1,"[0.9, 1.1]",0.0,nearest,0.0,True,False,0.00392156862745098,,float32,1,channels_last,3,1,2,0.0,,,,
